Date,Open,High,Low,Close,Volume
24-Dec-97,49.8252,50.1673,49.2654,49.3276,2060000
23-Dec-97,50.976,51.8157,49.0787,49.0787,2949600
22-Dec-97,52.1267,52.1267,50.1984,51.0382,3872900
19-Dec-97,49.3898,51.2248,48.2701,50.8204,6816700
18-Dec-97,50.8515,51.2248,49.2654,49.763,5167800
17-Dec-97,52.2511,52.4999,50.696,50.7582,4409800
16-Dec-97,50.3228,52.3755,50.3228,51.6291,4587800
15-Dec-97,50.5094,50.7271,48.2701,50.1984,5846900
12-Dec-97,51.2559,51.4736,47.9591,49.9496,8086700
11-Dec-97,51.2559,51.7224,50.4472,50.5716,7399800
10-Dec-97,54.4594,54.5527,52.4688,52.9976,5740200
9-Dec-97,55.4857,55.859,54.7393,54.9259,3626000
8-Dec-97,56.17,56.481,55.6101,56.17,3087200
5-Dec-97,54.4905,56.17,54.2417,55.859,3465500
4-Dec-97,55.0503,55.3924,54.1794,54.3661,3591100
3-Dec-97,54.9881,55.5479,54.2417,54.9259,4909800
2-Dec-97,55.7967,55.8278,55.0192,55.1125,3528000
1-Dec-97,54.7393,56.3877,54.6771,56.0145,5814700
28-Nov-97,54.3039,54.7082,54.3039,54.4905,1482700
26-Nov-97,53.4952,54.6771,53.433,54.6149,4921900
25-Nov-97,51.8157,53.4952,51.6913,53.433,5113300
24-Nov-97,52.22,52.6244,51.2559,51.3181,3401200
21-Nov-97,52.3755,52.9354,52.2511,52.5311,4748200
20-Nov-97,51.7846,52.2511,51.3803,52.1267,3354100
19-Nov-97,50.7582,51.7224,50.6338,51.287,3674500
18-Nov-97,51.598,51.9401,50.7582,50.8204,3184400
17-Nov-97,51.2559,52.1889,51.1937,51.5047,4495000
14-Nov-97,49.7319,50.7893,49.3276,50.5094,4819400
13-Nov-97,48.5189,49.452,47.3992,49.3276,5170100
12-Nov-97,48.9543,49.5142,48.0213,48.0835,4111100
11-Nov-97,48.8299,49.763,48.7366,49.2654,2814000
10-Nov-97,50.1362,50.1673,48.5811,48.6122,3760100
7-Nov-97,49.2654,49.9807,48.8921,49.5142,4527100
6-Nov-97,51.0693,51.3492,50.2917,50.2917,3076100
5-Nov-97,51.007,51.7223,50.5404,51.1314,3254000
4-Nov-97,50.3227,51.1314,50.2294,50.727,3493200
3-Nov-97,49.3275,50.8515,49.3275,50.5715,4334600
31-Oct-97,48.9542,49.3586,48.0523,49.0164,3954600
30-Oct-97,48.0212,49.4519,47.5547,47.6791,6390400
29-Oct-97,49.7629,50.8826,48.7054,48.892,8583800
28-Oct-97,44.289,49.7318,44.1024,49.4519,12558600
27-Oct-97,48.3944,49.0786,44.7244,44.7866,7140200
24-Oct-97,50.8826,51.1625,48.2078,48.7676,9226100
23-Oct-97,50.7581,51.6912,49.794,49.9495,6928900
22-Oct-97,52.3754,52.7176,51.8778,52.3132,4339100
21-Oct-97,50.5715,52.4376,50.2605,52.3443,8742600
20-Oct-97,47.6791,48.6432,47.0259,48.5188,5729300
17-Oct-97,48.8298,49.2031,47.3992,47.4925,7226200
16-Oct-97,50.9448,51.1003,49.3275,49.7007,3372600
15-Oct-97,50.8203,51.1936,50.4471,50.6026,2749200
14-Oct-97,51.7845,51.8156,50.7892,51.4113,2633300
13-Oct-97,52.4998,52.4998,51.7845,52.0022,972100
10-Oct-97,51.94,52.4376,51.8156,52.2199,1643500
9-Oct-97,51.9089,52.6554,51.8467,52.0644,2262000
8-Oct-97,53.153,53.1841,52.0022,52.3754,4097500
7-Oct-97,52.9975,53.3085,52.7176,53.153,4021500
6-Oct-97,52.2821,52.3754,51.94,52.1577,2450400
3-Oct-97,53.1841,53.3707,51.5046,51.9089,4096800
2-Oct-97,51.6601,52.0333,51.2558,52.0333,2242700
1-Oct-97,52.8109,52.9664,51.3491,51.5046,3784600
30-Sep-97,52.1266,53.464,51.5668,52.7487,6236200
29-Sep-97,50.9448,52.3132,50.7581,52.251,2974600
26-Sep-97,51.1625,51.3491,50.727,51.0692,2128400
25-Sep-97,50.6026,51.2558,50.3538,50.5715,2462000
24-Sep-97,51.6912,51.9711,50.4782,50.5404,3060700
23-Sep-97,51.7845,52.251,51.1314,51.3802,4144200
22-Sep-97,50.7581,52.3132,50.7581,51.6912,6939200
19-Sep-97,49.2342,49.5763,48.9231,49.3897,3446200
18-Sep-97,49.8251,49.8873,49.1409,49.1409,3728500
17-Sep-97,49.8873,50.3849,49.2653,49.5763,3489400
16-Sep-97,48.3944,50.0117,47.959,49.5763,4799500
15-Sep-97,48.8298,49.3586,47.8346,47.8968,2672800
12-Sep-97,48.7365,48.7676,48.2389,48.6432,3294200
